Relative_Time_sec,Bitrate_kbps,Buffer_sec,Rebuffer_Events,Play_Delay_ms
0.52,760,NaN,1,0
1.58,4953,3.21,1,592
2.29,4953,6.41,1,592
2.98,4953,9.88,1,592
4.92,4953,12.77,1,592
5.47,4953,15.37,1,592
6.38,4953,18.74,1,592
7.14,4953,21.67,1,592
7.73,4953,25.14,1,592
9.06,4953,28.50,1,592
9.48,4953,31.25,1,592
9.95,4953,35.00,1,592
10.43,4953,38.49,1,592
10.99,4953,41.73,1,592
11.50,4953,45.23,1,592
11.89,4953,48.95,1,592
12.41,4953,52.69,1,592
13.01,4953,55.90,1,592
13.47,4953,59.33,1,592
17.62,4953,59.16,1,592